name,capital,region,countrycode,capital,region,subregion,population,languages,flag
Afghanistan,AFG,Kabul,Asia,Southern Asia,27657145,Pashto,https://restcountries.eu/data/afg.svg
Åland Islands,ALA,Mariehamn,Europe,Northern Europe,28875,Swedish,https://restcountries.eu/data/ala.svg
Albania,ALB,Tirana,Europe,Southern Europe,2886026,Albanian,https://restcountries.eu/data/alb.svg
Algeria,DZA,Algiers,Africa,Northern Africa,40400000,Arabic,https://restcountries.eu/data/dza.svg
American Samoa,ASM,Pago Pago,Oceania,Polynesia,57100,English,https://restcountries.eu/data/asm.svg
Andorra,AND,Andorra la Vella,Europe,Southern Europe,78014,Catalan,https://restcountries.eu/data/and.svg
Angola,AGO,Luanda,Africa,Middle Africa,25868000,Portuguese,https://restcountries.eu/data/ago.svg
Anguilla,AIA,The Valley,Americas,Caribbean,13452,English,https://restcountries.eu/data/aia.svg
Antarctica,ATA,NA,Polar,,1000,English,https://restcountries.eu/data/ata.svg
Antigua and Barbuda,ATG,Saint John's,Americas,Caribbean,86295,English,https://restcountries.eu/data/atg.svg
Argentina,ARG,Buenos Aires,Americas,South America,43590400,Spanish,https://restcountries.eu/data/arg.svg
Armenia,ARM,Yerevan,Asia,Western Asia,2994400,Armenian,https://restcountries.eu/data/arm.svg
Aruba,ABW,Oranjestad,Americas,Caribbean,107394,Dutch,https://restcountries.eu/data/abw.svg
Australia,AUS,Canberra,Oceania,Australia and New Zealand,24117360,English,https://restcountries.eu/data/aus.svg
Austria,AUT,Vienna,Europe,Western Europe,8725931,German,https://restcountries.eu/data/aut.svg
Azerbaijan,AZE,Baku,Asia,Western Asia,9730500,Azerbaijani,https://restcountries.eu/data/aze.svg
Bahamas,BHS,Nassau,Americas,Caribbean,378040,English,https://restcountries.eu/data/bhs.svg
Bahrain,BHR,Manama,Asia,Western Asia,1404900,Arabic,https://restcountries.eu/data/bhr.svg
Bangladesh,BGD,Dhaka,Asia,Southern Asia,161006790,Bengali,https://restcountries.eu/data/bgd.svg
Barbados,BRB,Bridgetown,Americas,Caribbean,285000,English,https://restcountries.eu/data/brb.svg
Belarus,BLR,Minsk,Europe,Eastern Europe,9498700,Belarusian,https://restcountries.eu/data/blr.svg
Belgium,BEL,Brussels,Europe,Western Europe,11319511,Dutch,https://restcountries.eu/data/bel.svg
Belize,BLZ,Belmopan,Americas,Central America,370300,English,https://restcountries.eu/data/blz.svg
Benin,BEN,Porto-Novo,Africa,Western Africa,10653654,French,https://restcountries.eu/data/ben.svg
Bermuda,BMU,Hamilton,Americas,Northern America,61954,English,https://restcountries.eu/data/bmu.svg
Bhutan,BTN,Thimphu,Asia,Southern Asia,775620,Dzongkha,https://restcountries.eu/data/btn.svg
Bolivia (Plurinational State of),BOL,Sucre,Americas,South America,10985059,Spanish,https://restcountries.eu/data/bol.svg
"Bonaire, Sint Eustatius and Saba",BES,Kralendijk,Americas,Caribbean,17408,Dutch,https://restcountries.eu/data/bes.svg
Bosnia and Herzegovina,BIH,Sarajevo,Europe,Southern Europe,3531159,Bosnian,https://restcountries.eu/data/bih.svg
Botswana,BWA,Gaborone,Africa,Southern Africa,2141206,English,https://restcountries.eu/data/bwa.svg
Bouvet Island,BVT,NA,,,0,Norwegian,https://restcountries.eu/data/bvt.svg
Brazil,BRA,Brasília,Americas,South America,206135893,Portuguese,https://restcountries.eu/data/bra.svg
British Indian Ocean Territory,IOT,Diego Garcia,Africa,Eastern Africa,3000,English,https://restcountries.eu/data/iot.svg
United States Minor Outlying Islands,UMI,NA,Americas,Northern America,300,English,https://restcountries.eu/data/umi.svg
Virgin Islands (British),VGB,Road Town,Americas,Caribbean,28514,English,https://restcountries.eu/data/vgb.svg
Virgin Islands (U.S.),VIR,Charlotte Amalie,Americas,Caribbean,114743,English,https://restcountries.eu/data/vir.svg
